Destination,Budget_Min,Budget_Max,Start_Date,End_Date,Travel_Type,Activities,Accommodation_Type,Cuisine,Past_Travel_History,Language,Geographical_Features,Cost,Weather_Conditions,Accessibility,Accommodation_Options,Cultural_Highlights,Local_Cuisine,User_Reviews,Special_Features,Tourist_Spots
Jaipur,21546,109375,2024-03-17,2024-08-03,Group,"Adventure, Cultural",Hostel,Street Food,"Kerala, Rishikesh, Delhi",English,Jaipur,180000-190000,Tropical,Medium,Hotel,Stage religious suggest city.,North Indian,3,Personal source ten half.,"Solang Valley, Rohtang Pass"
Delhi,74106,49468,2024-08-23,2024-08-26,Solo,"Relaxation, Cultural, Food-related",Hostel,Vegetarian,Leh,English,Varanasi,110000-120000,Tropical,Medium,Resort,Majority read hotel.,Seafood,1,Impact current discuss arrive over.,"Munnar, Alleppey, Varkala"
Rishikesh,42041,181188,2024-07-30,2024-10-04,Family,"Adventure, Nature",Villa,South Indian,"Manali, Jaipur, Mumbai",English,Rishikesh,60000-70000,Snowy,Low,Villa,Much new ready.,North Indian,4,Head dream majority street remember what.,"Fort Kochi, Thekkady"
Rishikesh,10131,41312,2024-10-07,2024-11-16,Group,"Relaxation, Adventure",Homestay,North Indian,"Rishikesh, Mumbai",English,Delhi,50000-60000,Moderate,Medium,Hotel,Hundred culture too skill.,South Indian,5,Science fine somebody garden plant.,Kashi Vishwanath Temple
Mumbai,11163,101281,2024-05-27,2024-08-22,Group,"Food-related, Relaxation",Villa,South Indian,Goa,English,Rishikesh,50000-60000,Moderate,Medium,Homestay,Claim number carry alone card.,South Indian,2,Activity head receive light.,Periyar Wildlife Sanctuary
Goa,29718,39629,2024-09-28,2024-10-21,Solo,Cultural,Hostel,South Indian,Kerala,English,Manali,30000-40000,Moderate,Medium,Hostel,Worry talk begin manage four.,Seafood,1,Seem down PM.,"Solang Valley, Rohtang Pass"
Mumbai,67505,70369,2024-10-20,2025-01-09,Family,Adventure,Villa,South Indian,"Jaipur, Varanasi",English,Andaman,70000-80000,Moderate,Low,Resort,Beautiful water list reach.,Vegetarian,5,News fund beat during.,"Munnar, Alleppey, Varkala"
Goa,196310,199757,2024-09-24,2024-12-19,Couple,"Cultural, Relaxation, Adventure",Hostel,Street Food,"Jaipur, Mumbai",English,Goa,10000-20000,Moderate,High,Villa,Television feeling world single.,Street Food,1,Pattern imagine sense cultural doctor situation.,"Fort Kochi, Thekkady"
Mumbai,199673,198546,2024-04-29,2024-07-03,Couple,"Nature, Relaxation",Villa,Vegetarian,Andaman,English,Delhi,30000-40000,Moderate,Medium,Villa,Card ground believe top challenge accept.,Seafood,1,Especially table consumer program.,Kashi Vishwanath Temple
Jaipur,105393,129239,2024-12-02,2025-01-03,Family,"Relaxation, Adventure",Homestay,Street Food,"Rishikesh, Varanasi",English,Goa,80000-90000,Tropical,Low,Hostel,Anything officer manage attention bank month.,Vegetarian,4,Near hair certainly month.,Periyar Wildlife Sanctuary
Delhi,113728,53694,2024-08-12,2024-11-20,Family,"Relaxation, Nature",Homestay,North Indian,Delhi,English,Varanasi,170000-180000,Snowy,Low,Resort,Thing stand close out.,North Indian,4,Various inside speech member successful others.,"Solang Valley, Rohtang Pass"
Goa,18888,51069,2024-08-19,2024-12-04,Family,"Adventure, Relaxation, Cultural",Homestay,Vegetarian,"Rishikesh, Mumbai",English,Delhi,120000-130000,Moderate,High,Homestay,Table dream employee make.,Street Food,3,Arm simple when let.,"Munnar, Alleppey, Varkala"
Jaipur,194358,33413,2024-10-25,2024-12-21,Group,"Adventure, Food-related, Relaxation",Villa,Street Food,Delhi,English,Rishikesh,180000-190000,Moderate,Medium,Villa,Few today upon quite until power.,Street Food,1,Sing unit wonder rest.,"Fort Kochi, Thekkady"
Jaipur,119832,109620,2024-02-14,2024-08-08,Group,Food-related,Homestay,Vegetarian,"Varanasi, Mumbai",English,Andaman,10000-20000,Moderate,High,Homestay,Push beautiful anything conference.,Street Food,5,Wind game suggest partner.,Kashi Vishwanath Temple
Delhi,86067,102141,2024-08-01,2024-08-10,Couple,Cultural,Hostel,North Indian,"Jaipur, Goa, Andaman",English,Mumbai,140000-150000,Tropical,Low,Resort,Well attention save modern.,Vegetarian,4,Arrive trip Mr explain traditional month.,Periyar Wildlife Sanctuary
Rishikesh,90255,193446,2024-10-02,2024-10-10,Solo,"Nature, Cultural",Homestay,Seafood,"Andaman, Manali, Varanasi",English,Mumbai,20000-30000,Moderate,High,Resort,Whether thousand require pick.,Street Food,3,Great center condition.,"Solang Valley, Rohtang Pass"
Leh,153858,46096,2024-08-23,2025-01-08,Group,"Cultural, Relaxation, Nature",Homestay,North Indian,Varanasi,English,Goa,110000-120000,Snowy,Low,Hostel,Compare development current head respond everybody.,Street Food,2,By action ground country end show.,"Munnar, Alleppey, Varkala"
Jaipur,196507,78556,2024-06-11,2024-10-23,Group,"Nature, Cultural, Food-related",Homestay,Street Food,"Jaipur, Manali, Andaman",English,Leh,30000-40000,Tropical,Medium,Homestay,Stuff left board.,Street Food,3,College edge father thousand than want.,"Fort Kochi, Thekkady"
Leh,160701,57882,2024-02-22,2024-06-25,Family,"Food-related, Relaxation, Cultural",Hotel,South Indian,"Manali, Rishikesh",English,Manali,130000-140000,Snowy,High,Resort,Little administration above point recent information.,Street Food,1,From identify establish various institution report.,Kashi Vishwanath Temple
Varanasi,153666,166399,2024-04-28,2024-07-26,Group,"Nature, Relaxation",Hostel,Street Food,"Leh, Kerala",English,Varanasi,110000-120000,Snowy,Medium,Resort,Manage soon poor.,North Indian,1,Million special heavy able.,Periyar Wildlife Sanctuary
Delhi,157679,124831,2024-09-17,2024-12-14,Solo,"Food-related, Adventure, Nature",Hostel,South Indian,"Rishikesh, Mumbai",English,Goa,170000-180000,Tropical,High,Hotel,Meet start party goal.,Street Food,3,Project left far charge might.,"Solang Valley, Rohtang Pass"
Mumbai,38388,122156,2024-03-23,2024-04-03,Solo,Cultural,Hotel,Street Food,"Jaipur, Rishikesh, Mumbai",English,Mumbai,30000-40000,Snowy,Medium,Villa,Maybe particularly dream remain.,South Indian,4,Environmental ago be Democrat several.,"Munnar, Alleppey, Varkala"
Andaman,62198,84590,2024-03-12,2024-09-10,Group,"Adventure, Nature",Hotel,Street Food,"Goa, Mumbai, Rishikesh",English,Varanasi,150000-160000,Moderate,Low,Hotel,Control force network pressure type else.,North Indian,1,Usually pattern television research provide.,"Fort Kochi, Thekkady"
Varanasi,161346,46914,2024-02-14,2024-11-26,Group,"Adventure, Food-related, Relaxation",Resort,Vegetarian,"Rishikesh, Manali, Varanasi",English,Leh,40000-50000,Moderate,Medium,Homestay,Option morning role allow.,Street Food,3,Choice action TV.,Kashi Vishwanath Temple
Mumbai,114069,178235,2024-08-08,2024-11-26,Solo,"Nature, Food-related, Adventure",Hostel,Vegetarian,Delhi,English,Andaman,40000-50000,Moderate,Medium,Hostel,Final audience must six police.,North Indian,2,Career game order upon compare serve.,Periyar Wildlife Sanctuary
Goa,68909,100911,2024-11-04,2024-12-20,Couple,"Adventure, Cultural, Nature",Homestay,Street Food,"Delhi, Leh, Kerala",English,Varanasi,180000-190000,Tropical,Medium,Homestay,Put herself miss send home moment.,Street Food,4,A material story military score letter.,"Solang Valley, Rohtang Pass"
Andaman,17070,106227,2024-01-09,2024-06-16,Couple,"Cultural, Food-related",Hotel,Seafood,Varanasi,English,Manali,20000-30000,Tropical,Medium,Villa,Certain sure alone another spend.,Street Food,4,Stock fish improve early trade.,"Munnar, Alleppey, Varkala"
Rishikesh,101534,135056,2024-01-11,2024-09-28,Family,Adventure,Hostel,South Indian,Andaman,English,Kerala,50000-60000,Snowy,Low,Hotel,Find around detail bag.,South Indian,1,Build southern laugh item.,"Fort Kochi, Thekkady"
Goa,181037,126680,2024-04-06,2024-10-21,Solo,Adventure,Resort,Seafood,"Varanasi, Andaman, Delhi",English,Jaipur,140000-150000,Snowy,Low,Resort,House left enough.,Vegetarian,1,Situation contain like popular PM.,Kashi Vishwanath Temple
Rishikesh,48893,68649,2024-04-02,2024-09-18,Family,"Food-related, Adventure",Hotel,Vegetarian,"Mumbai, Kerala, Goa",English,Leh,160000-170000,Moderate,High,Resort,Particularly left whole quite each.,Vegetarian,1,Agency paper and.,Periyar Wildlife Sanctuary
Rishikesh,38655,131158,2024-03-15,2024-04-27,Group,"Adventure, Food-related",Hostel,Vegetarian,Mumbai,English,Leh,100000-110000,Tropical,Low,Resort,Painting player Mrs forget.,Vegetarian,5,Scene sound town.,"Solang Valley, Rohtang Pass"
Jaipur,13405,95410,2024-03-27,2024-06-04,Couple,"Relaxation, Adventure",Hotel,Street Food,"Manali, Goa, Varanasi",English,Goa,80000-90000,Moderate,High,Hotel,Time president cover.,Street Food,2,Yourself training fear case protect program.,"Munnar, Alleppey, Varkala"
Manali,35601,171873,2024-07-10,2024-10-26,Couple,Nature,Resort,North Indian,Leh,English,Jaipur,130000-140000,Tropical,High,Hostel,Think next item.,South Indian,1,Town statement short character whole.,"Fort Kochi, Thekkady"
Leh,123477,49909,2024-05-01,2024-12-23,Solo,"Nature, Cultural",Villa,South Indian,"Varanasi, Rishikesh",English,Jaipur,160000-170000,Moderate,Medium,Hotel,Cut service send fire left.,Vegetarian,2,Billion machine evidence save bar.,Kashi Vishwanath Temple
Goa,9738,37088,2024-01-15,2024-07-18,Couple,Relaxation,Hotel,Vegetarian,"Kerala, Manali, Mumbai",English,Jaipur,160000-170000,Moderate,High,Villa,Military maintain blood.,Vegetarian,5,Draw peace speech finally smile.,Periyar Wildlife Sanctuary
Goa,174277,95556,2024-04-27,2024-09-10,Group,"Relaxation, Food-related, Adventure",Hostel,North Indian,"Jaipur, Leh, Kerala",English,Varanasi,10000-20000,Snowy,High,Resort,Source often enough information toward company.,Street Food,2,Establish tonight listen course behavior commercial.,"Solang Valley, Rohtang Pass"
Varanasi,161920,120361,2024-08-11,2024-08-16,Group,"Relaxation, Cultural",Resort,Seafood,Manali,English,Varanasi,10000-20000,Moderate,High,Villa,Mind bag player bag eye around.,Street Food,2,Keep the best.,"Munnar, Alleppey, Varkala"
Manali,21270,135778,2024-07-16,2024-09-09,Couple,"Relaxation, Cultural",Resort,North Indian,"Delhi, Goa, Andaman",English,Manali,80000-90000,Moderate,Low,Hotel,Morning center strong once find.,Vegetarian,2,Real fly more put.,"Fort Kochi, Thekkady"
Jaipur,188412,24596,2024-10-24,2024-11-18,Group,"Adventure, Cultural",Hostel,Vegetarian,Leh,English,Mumbai,180000-190000,Tropical,High,Homestay,Fine century one although hot.,Street Food,4,Possible attention source.,Kashi Vishwanath Temple
Leh,36548,113745,2024-12-01,2024-12-07,Solo,"Cultural, Relaxation, Nature",Hostel,Seafood,Goa,English,Delhi,80000-90000,Tropical,Low,Hotel,Section behavior lay admit.,North Indian,2,Goal child cost.,Periyar Wildlife Sanctuary
Leh,147614,109661,2024-06-21,2024-08-31,Couple,"Relaxation, Cultural, Nature",Resort,Vegetarian,"Delhi, Varanasi",English,Manali,190000-200000,Tropical,High,Hostel,Protect it exactly box ago.,North Indian,2,Seem while black case.,"Solang Valley, Rohtang Pass"
Rishikesh,62181,83110,2024-09-22,2024-09-27,Group,Food-related,Hostel,Street Food,Rishikesh,English,Kerala,0-10000,Snowy,High,Homestay,Middle either fund production you would.,North Indian,1,Church expect fast apply.,"Munnar, Alleppey, Varkala"
Varanasi,84064,127368,2024-03-17,2024-07-20,Family,Nature,Hotel,Seafood,"Goa, Leh, Manali",English,Kerala,120000-130000,Tropical,Low,Homestay,Maybe born course baby mouth our.,South Indian,5,Authority hope account customer.,"Fort Kochi, Thekkady"
Delhi,96013,29483,2024-11-26,2025-01-04,Solo,"Food-related, Relaxation",Resort,South Indian,"Andaman, Rishikesh",English,Rishikesh,180000-190000,Moderate,Medium,Homestay,Clearly mother both investment.,Vegetarian,1,Science raise responsibility fall address word.,Kashi Vishwanath Temple
Mumbai,113189,190332,2024-03-31,2024-11-13,Couple,"Cultural, Adventure",Hostel,North Indian,"Andaman, Varanasi, Delhi",English,Leh,40000-50000,Tropical,Low,Villa,Campaign land simply.,Street Food,3,Note production lay this item.,Periyar Wildlife Sanctuary
Rishikesh,184158,188679,2024-08-24,2024-11-04,Family,Nature,Resort,Vegetarian,Rishikesh,English,Manali,50000-60000,Snowy,High,Villa,Responsibility government maybe benefit any to.,North Indian,5,Senior success room hotel.,"Solang Valley, Rohtang Pass"
Delhi,127414,43415,2024-11-24,2024-11-30,Solo,"Nature, Food-related",Hostel,Vegetarian,Delhi,English,Manali,20000-30000,Snowy,High,Resort,Inside law all other.,Vegetarian,4,Bill speech nor remember.,"Munnar, Alleppey, Varkala"
Mumbai,167407,84946,2024-01-18,2024-04-10,Family,"Nature, Relaxation",Resort,Street Food,"Rishikesh, Leh",English,Leh,140000-150000,Moderate,High,Homestay,Our I street.,Seafood,5,Approach arm reason necessary growth.,"Fort Kochi, Thekkady"
Rishikesh,97259,36209,2024-09-10,2024-12-13,Solo,"Adventure, Nature",Homestay,Street Food,"Mumbai, Manali",English,Andaman,170000-180000,Moderate,Medium,Hostel,Address interesting certain page professional eat.,Vegetarian,4,View happy enough.,Kashi Vishwanath Temple
Mumbai,32548,166389,2024-09-07,2024-11-05,Solo,Relaxation,Hotel,Seafood,"Leh, Goa, Rishikesh",English,Delhi,60000-70000,Tropical,High,Hostel,Research Mrs chair fire have spend.,Seafood,4,Some do baby yeah sure.,Periyar Wildlife Sanctuary
Goa,170105,15953,2024-06-04,2024-06-04,Couple,Food-related,Villa,Seafood,"Varanasi, Goa, Leh",English,Rishikesh,120000-130000,Tropical,Medium,Homestay,Whole trial health.,North Indian,3,Number couple gun food.,"Solang Valley, Rohtang Pass"
Rishikesh,31632,142212,2024-04-23,2024-09-17,Group,Food-related,Resort,Seafood,Andaman,English,Andaman,160000-170000,Tropical,High,Homestay,Home purpose be shake country cover.,Street Food,5,Without course fear.,"Munnar, Alleppey, Varkala"
Kerala,58540,97204,2024-02-18,2024-05-06,Couple,"Nature, Adventure",Villa,North Indian,Jaipur,English,Varanasi,140000-150000,Snowy,Medium,Villa,Agree play candidate check bit read.,South Indian,2,Few forward enjoy foot customer back.,"Fort Kochi, Thekkady"
Jaipur,55796,166675,2024-11-07,2024-12-27,Solo,Adventure,Villa,South Indian,"Varanasi, Jaipur",English,Delhi,150000-160000,Tropical,Medium,Hotel,Third buy movie.,South Indian,5,Employee heavy raise if low.,Kashi Vishwanath Temple
Leh,184205,59757,2024-07-07,2024-12-04,Family,"Adventure, Nature, Cultural",Hotel,Vegetarian,"Varanasi, Goa",English,Rishikesh,190000-200000,Snowy,Medium,Resort,Create party learn.,Seafood,3,Allow manager none.,Periyar Wildlife Sanctuary
Mumbai,48226,7603,2024-10-18,2024-10-23,Family,"Adventure, Food-related, Relaxation",Villa,Street Food,"Andaman, Kerala, Rishikesh",English,Varanasi,60000-70000,Moderate,Medium,Hostel,Institution adult recognize resource.,Seafood,4,Series senior western identify.,"Solang Valley, Rohtang Pass"
Jaipur,90850,118180,2024-05-26,2024-08-06,Group,Cultural,Hostel,Street Food,"Kerala, Varanasi, Jaipur",English,Andaman,90000-100000,Moderate,Low,Homestay,Cup then treat financial fact most.,Seafood,5,Look administration decade bit.,"Munnar, Alleppey, Varkala"
Kerala,45557,39758,2024-10-27,2024-12-04,Couple,"Food-related, Nature, Cultural",Resort,Vegetarian,"Rishikesh, Andaman, Delhi",English,Andaman,110000-120000,Snowy,Medium,Homestay,Toward floor possible avoid.,North Indian,5,Edge natural crime add.,"Fort Kochi, Thekkady"
Kerala,138340,93597,2024-11-24,2024-12-08,Solo,"Relaxation, Nature",Homestay,North Indian,"Manali, Delhi",English,Varanasi,50000-60000,Tropical,Medium,Resort,College conference against wrong enjoy fly.,North Indian,5,When support but.,Kashi Vishwanath Temple
Jaipur,79491,125751,2024-09-07,2024-12-31,Solo,"Adventure, Relaxation, Nature",Homestay,Street Food,"Manali, Kerala, Jaipur",English,Mumbai,160000-170000,Tropical,Medium,Hostel,Bag environmental green somebody four for.,South Indian,1,Appear hear grow son.,Periyar Wildlife Sanctuary
Kerala,41425,154542,2024-06-12,2024-10-11,Solo,"Nature, Adventure, Food-related",Resort,Street Food,Delhi,English,Rishikesh,150000-160000,Snowy,High,Hostel,Pattern their protect significant sometimes do.,Seafood,1,Behavior be long recent.,"Solang Valley, Rohtang Pass"
Varanasi,152334,130527,2024-01-10,2024-08-10,Couple,"Food-related, Adventure, Relaxation",Resort,North Indian,"Kerala, Jaipur",English,Kerala,110000-120000,Snowy,Medium,Resort,Value add task magazine parent many.,North Indian,5,Daughter after themselves your difference.,"Munnar, Alleppey, Varkala"
Leh,158172,142086,2024-01-25,2024-02-20,Couple,"Nature, Cultural, Adventure",Resort,South Indian,Delhi,English,Rishikesh,70000-80000,Snowy,High,Hotel,Age protect respond report.,South Indian,2,Never perform authority skill.,"Fort Kochi, Thekkady"
Andaman,7217,7073,2024-04-20,2024-09-25,Couple,Relaxation,Hotel,Seafood,"Manali, Jaipur",English,Jaipur,190000-200000,Moderate,Medium,Hotel,Get social hand chance.,Street Food,3,Argue instead each southern.,Kashi Vishwanath Temple
Goa,44612,81812,2024-07-18,2024-08-16,Family,"Food-related, Nature, Relaxation",Homestay,North Indian,Kerala,English,Kerala,70000-80000,Tropical,Medium,Resort,Relate large some play.,Seafood,4,Total old American themselves entire miss.,Periyar Wildlife Sanctuary
Delhi,150571,67418,2024-06-10,2024-09-10,Couple,"Nature, Food-related, Adventure",Hostel,Vegetarian,"Kerala, Jaipur",English,Delhi,0-10000,Snowy,High,Villa,Never picture professional.,Seafood,5,Box cost attorney team scene.,"Solang Valley, Rohtang Pass"
Kerala,199712,84563,2024-06-10,2024-12-20,Family,"Food-related, Cultural",Villa,Vegetarian,"Manali, Kerala",English,Kerala,30000-40000,Snowy,Medium,Hotel,Day morning blue.,Vegetarian,2,Lose those whose cut conference remember physical.,"Munnar, Alleppey, Varkala"
Varanasi,61123,70121,2024-06-29,2024-07-26,Family,Cultural,Hotel,Vegetarian,Jaipur,English,Jaipur,170000-180000,Tropical,Low,Hotel,Over might should sign.,Vegetarian,1,Off picture free method individual provide.,"Fort Kochi, Thekkady"
Manali,68636,184772,2024-04-25,2024-06-05,Family,"Nature, Relaxation",Homestay,Seafood,"Goa, Jaipur",English,Manali,100000-110000,Moderate,Low,Villa,Well step two.,Street Food,1,If coach show stage new read.,Kashi Vishwanath Temple
Varanasi,83360,114924,2024-10-19,2024-12-18,Solo,"Relaxation, Nature",Hotel,Seafood,Jaipur,English,Andaman,60000-70000,Snowy,High,Villa,Ok oil myself listen case require.,North Indian,1,Make price particular week child piece.,Periyar Wildlife Sanctuary
Rishikesh,138937,186035,2024-04-05,2024-10-04,Family,"Nature, Food-related, Cultural",Hostel,South Indian,Manali,English,Andaman,150000-160000,Tropical,Low,Villa,Case produce artist others art box.,Seafood,5,Effect necessary side.,"Solang Valley, Rohtang Pass"
